LocationType,Location,DataType,TimeFrame,DataFormat,Data,Indicator,HousingStatus,TimeStart,TimeEnd,StatNow,StatPrevious,StatDifference
County,Hawaii County,Percent,2011-2015,Percent,0.3065,Households with a housing cost burden,Owner,,,,,
County,Hawaii County,Percent,2010-2014,Percent,0.33313,Households with a housing cost burden,Owner,,,,,
County,Hawaii County,Percent,2009-2013,Percent,0.35843,Households with a housing cost burden,Owner,,,,,
County,Hawaii County,Percent,2008-2012,Percent,0.36059,Households with a housing cost burden,Owner,,,,,
County,Hawaii County,Percent,2007-2011,Percent,0.35418,Households with a housing cost burden,Owner,,,,,
County,Hawaii County,Percent,2006-2010,Percent,0.3424,Households with a housing cost burden,Owner,,,,,
County,Hawaii County,Percent,2013-2017,Percent,0.45021,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2012-2016,Percent,0.4532,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2011-2015,Percent,0.46096,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2010-2014,Percent,0.47532,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2009-2013,Percent,0.47191,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2008-2012,Percent,0.45629,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2007-2011,Percent,0.45938,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2006-2010,Percent,0.44229,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2014-2018,Percent,0.42433,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2014-2018,Percent,0.25687,Households with a housing cost burden,Owner,,,,,
County,Hawaii County,Percent,2015-2019,Percent,0.4239,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2015-2019,Percent,0.26486,Households with a housing cost burden,Owner,,,,,
County,Hawaii County,Percent,2016-2020,Percent,0.42949,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2016-2020,Percent,0.26721,Households with a housing cost burden,Owner,,,,,
County,Hawaii County,Percent,2017-2021,Percent,0.43684,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2017-2021,Percent,0.26623,Households with a housing cost burden,Owner,,,,,
County,Hawaii County,Percent,2018-2022,Percent,0.43852,Households with a housing cost burden,Renter,,,,,
County,Hawaii County,Percent,2018-2022,Percent,0.26428,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2013-2017,Percent,0.33702,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2012-2016,Percent,0.34962,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2011-2015,Percent,0.37597,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2010-2014,Percent,0.39563,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2009-2013,Percent,0.39565,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2008-2012,Percent,0.39868,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2007-2011,Percent,0.39756,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2006-2010,Percent,0.39505,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2013-2017,Percent,0.42731,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2012-2016,Percent,0.42512,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2011-2015,Percent,0.43307,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2010-2014,Percent,0.44712,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2009-2013,Percent,0.43652,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2008-2012,Percent,0.45001,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2007-2011,Percent,0.43385,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2006-2010,Percent,0.42812,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2014-2018,Percent,0.43221,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2014-2018,Percent,0.3099,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2015-2019,Percent,0.40369,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2015-2019,Percent,0.30328,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2016-2020,Percent,0.40415,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2016-2020,Percent,0.30986,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2017-2021,Percent,0.41138,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2017-2021,Percent,0.31278,Households with a housing cost burden,Owner,,,,,
County,Kauai County,Percent,2018-2022,Percent,0.4124,Households with a housing cost burden,Renter,,,,,
County,Kauai County,Percent,2018-2022,Percent,0.30726,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2013-2017,Percent,0.3288,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2012-2016,Percent,0.34579,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2011-2015,Percent,0.37273,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2010-2014,Percent,0.39632,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2009-2013,Percent,0.41468,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2008-2012,Percent,0.42351,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2007-2011,Percent,0.42108,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2006-2010,Percent,0.42281,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2013-2017,Percent,0.4449,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2012-2016,Percent,0.44882,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2011-2015,Percent,0.46738,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2010-2014,Percent,0.47785,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2009-2013,Percent,0.47949,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2008-2012,Percent,0.50543,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2007-2011,Percent,0.49737,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2006-2010,Percent,0.48541,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2014-2018,Percent,0.45014,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2014-2018,Percent,0.32131,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2015-2019,Percent,0.44114,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2015-2019,Percent,0.3268,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2016-2020,Percent,0.46162,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2016-2020,Percent,0.32075,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2017-2021,Percent,0.47395,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2017-2021,Percent,0.33212,Households with a housing cost burden,Owner,,,,,
County,Maui County,Percent,2018-2022,Percent,0.4699,Households with a housing cost burden,Renter,,,,,
County,Maui County,Percent,2018-2022,Percent,0.32491,Households with a housing cost burden,Owner,,,,,
State,Hawaii,Percent,2020,Percent,0.08,Low birth weight,,,,,,
State,Hawaii,Percent,2019,Percent,0.082,Low birth weight,,,,,,
State,Hawaii,Percent,2018,Percent,0.081,Low birth weight,,,,,,
State,Hawaii,Percent,2017,Percent,0.084,Low birth weight,,,,,,
State,Hawaii,Percent,2016,Percent,0.084,Low birth weight,,,,,,
State,Hawaii,Percent,2015,Percent,0.082,Low birth weight,,,,,,
State,Hawaii,Percent,2014,Percent,0.077,Low birth weight,,,,,,
State,Hawaii,Percent,2013,Percent,0.081,Low birth weight,,,,,,
State,Hawaii,Percent,2012,Percent,0.08,Low birth weight,,,,,,
State,Hawaii,Percent,2011,Percent,0.08,Low birth weight,,,,,,
State,Hawaii,Percent,2010,Percent,0.082,Low birth weight,,,,,,
State,Hawaii,Percent,2009,Percent,0.083,Low birth weight,,,,,,
State,Hawaii,Percent,2008,Percent,0.08,Low birth weight,,,,,,
State,Hawaii,Percent,2007,Percent,0.078,Low birth weight,,,,,,
State,Hawaii,Percent,2006,Percent,0.079,Low birth weight,,,,,,
State,Hawaii,Percent,2005,Percent,0.081,Low birth weight,,,,,,
State,Hawaii,Percent,2004,Percent,0.077,Low birth weight,,,,,,
State,Hawaii,Percent,2003,Percent,0.084,Low birth weight,,,,,,
State,Hawaii,Percent,2002,Percent,0.082,Low birth weight,,,,,,
State,Hawaii,Percent,2001,Percent,0.08,Low birth weight,,,,,,
State,Hawaii,Percent,2000,Percent,0.073,Low birth weight,,,,,,
State,Hawaii,Percent,2021,Percent,0.088,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2020,Percent,0.08,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2019,Percent,0.082,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2018,Percent,0.082,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2017,Percent,0.083,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2016,Percent,0.085,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2015,Percent,0.081,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2014,Percent,0.079,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2013,Percent,0.086,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2012,Percent,0.08,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2011,Percent,0.081,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2010,Percent,0.084,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2009,Percent,0.088,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2008,Percent,0.08,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2007,Percent,0.079,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2006,Percent,0.079,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2005,Percent,0.082,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2004,Percent,0.08,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2003,Percent,0.086,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2002,Percent,0.083,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2001,Percent,0.082,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2000,Percent,0.073,Low birth weight,,,,,,
County,C&C Honolulu,Percent,2021,Percent,0.086,Low birth weight,,,,,,
County,Hawaii County,Percent,2020,Percent,0.084,Low birth weight,,,,,,
County,Hawaii County,Percent,2019,Percent,0.088,Low birth weight,,,,,,
County,Hawaii County,Percent,2018,Percent,0.088,Low birth weight,,,,,,
County,Hawaii County,Percent,2017,Percent,0.088,Low birth weight,,,,,,
County,Hawaii County,Percent,2016,Percent,0.08,Low birth weight,,,,,,
County,Hawaii County,Percent,2015,Percent,0.092,Low birth weight,,,,,,
County,Hawaii County,Percent,2014,Percent,0.071,Low birth weight,,,,,,
County,Hawaii County,Percent,2013,Percent,0.071,Low birth weight,,,,,,
County,Hawaii County,Percent,2012,Percent,0.085,Low birth weight,,,,,,
County,Hawaii County,Percent,2011,Percent,0.082,Low birth weight,,,,,,
County,Hawaii County,Percent,2010,Percent,0.078,Low birth weight,,,,,,
County,Hawaii County,Percent,2009,Percent,0.072,Low birth weight,,,,,,
County,Hawaii County,Percent,2008,Percent,0.079,Low birth weight,,,,,,
County,Hawaii County,Percent,2007,Percent,0.079,Low birth weight,,,,,,
County,Hawaii County,Percent,2006,Percent,0.081,Low birth weight,,,,,,
County,Hawaii County,Percent,2005,Percent,0.081,Low birth weight,,,,,,
County,Hawaii County,Percent,2004,Percent,0.076,Low birth weight,,,,,,
County,Hawaii County,Percent,2003,Percent,0.086,Low birth weight,,,,,,
County,Hawaii County,Percent,2002,Percent,0.087,Low birth weight,,,,,,
County,Hawaii County,Percent,2001,Percent,0.074,Low birth weight,,,,,,
County,Hawaii County,Percent,2000,Percent,0.083,Low birth weight,,,,,,
County,Hawaii County,Percent,2021,Percent,0.097,Low birth weight,,,,,,
County,Kauai County,Percent,2020,Percent,0.086,Low birth weight,,,,,,
County,Kauai County,Percent,2019,Percent,0.081,Low birth weight,,,,,,
County,Kauai County,Percent,2018,Percent,0.087,Low birth weight,,,,,,
County,Kauai County,Percent,2017,Percent,0.087,Low birth weight,,,,,,
County,Kauai County,Percent,2016,Percent,0.076,Low birth weight,,,,,,
County,Kauai County,Percent,2015,Percent,0.068,Low birth weight,,,,,,
County,Kauai County,Percent,2014,Percent,0.067,Low birth weight,,,,,,
County,Kauai County,Percent,2013,Percent,0.061,Low birth weight,,,,,,
County,Kauai County,Percent,2012,Percent,0.079,Low birth weight,,,,,,
County,Kauai County,Percent,2011,Percent,0.08,Low birth weight,,,,,,
County,Kauai County,Percent,2010,Percent,0.074,Low birth weight,,,,,,
County,Kauai County,Percent,2009,Percent,0.095,Low birth weight,,,,,,
County,Kauai County,Percent,2008,Percent,0.086,Low birth weight,,,,,,
County,Kauai County,Percent,2007,Percent,0.069,Low birth weight,,,,,,
County,Kauai County,Percent,2006,Percent,0.075,Low birth weight,,,,,,
County,Kauai County,Percent,2005,Percent,0.063,Low birth weight,,,,,,
County,Kauai County,Percent,2004,Percent,0.072,Low birth weight,,,,,,
County,Kauai County,Percent,2003,Percent,0.081,Low birth weight,,,,,,
County,Kauai County,Percent,2002,Percent,0.068,Low birth weight,,,,,,
County,Kauai County,Percent,2001,Percent,0.076,Low birth weight,,,,,,
County,Kauai County,Percent,2000,Percent,0.067,Low birth weight,,,,,,
County,Kauai County,Percent,2021,Percent,0.088,Low birth weight,,,,,,
County,Maui County,Percent,2020,Percent,0.071,Low birth weight,,,,,,
County,Maui County,Percent,2019,Percent,0.076,Low birth weight,,,,,,
County,Maui County,Percent,2018,Percent,0.07,Low birth weight,,,,,,
County,Maui County,Percent,2017,Percent,0.081,Low birth weight,,,,,,
County,Maui County,Percent,2016,Percent,0.082,Low birth weight,,,,,,
County,Maui County,Percent,2015,Percent,0.081,Low birth weight,,,,,,
County,Maui County,Percent,2014,Percent,0.076,Low birth weight,,,,,,
County,Maui County,Percent,2013,Percent,0.068,Low birth weight,,,,,,
County,Maui County,Percent,2012,Percent,0.071,Low birth weight,,,,,,
County,Maui County,Percent,2011,Percent,0.077,Low birth weight,,,,,,
County,Maui County,Percent,2010,Percent,0.075,Low birth weight,,,,,,
County,Maui County,Percent,2009,Percent,0.058,Low birth weight,,,,,,
County,Maui County,Percent,2008,Percent,0.075,Low birth weight,,,,,,
County,Maui County,Percent,2007,Percent,0.074,Low birth weight,,,,,,
County,Maui County,Percent,2006,Percent,0.078,Low birth weight,,,,,,
County,Maui County,Percent,2005,Percent,0.08,Low birth weight,,,,,,
County,Maui County,Percent,2004,Percent,0.062,Low birth weight,,,,,,
County,Maui County,Percent,2003,Percent,0.071,Low birth weight,,,,,,
County,Maui County,Percent,2002,Percent,0.069,Low birth weight,,,,,,
County,Maui County,Percent,2001,Percent,0.082,Low birth weight,,,,,,
County,Maui County,Percent,2000,Percent,0.063,Low birth weight,,,,,,
County,Maui County,Percent,2021,Percent,0.088,Low birth weight,,,,,,
State,Hawaii,Percent,2020,Percent,0.624,Early prenatal care,,,,,,
State,Hawaii,Percent,2019,Percent,0.62,Early prenatal care,,,,,,
State,Hawaii,Percent,2018,Percent,0.64,Early prenatal care,,,,,,
State,Hawaii,Percent,2017,Percent,0.66,Early prenatal care,,,,,,
State,Hawaii,Percent,2016,Percent,0.678,Early prenatal care,,,,,,
State,Hawaii,Percent,2015,Percent,0.685,Early prenatal care,,,,,,
State,Hawaii,Percent,2014,Percent,0.678,Early prenatal care,,,,,,
State,Hawaii,Percent,2021,Percent,0.606,Early prenatal care,,,,,,
County,C&C Honolulu,Percent,2020,Percent,0.644,Early prenatal care,,,,,,
County,C&C Honolulu,Percent,2019,Percent,0.629,Early prenatal care,,,,,,
County,C&C Honolulu,Percent,2018,Percent,0.636,Early prenatal care,,,,,,
County,C&C Honolulu,Percent,2017,Percent,0.657,Early prenatal care,,,,,,
County,C&C Honolulu,Percent,2016,Percent,0.684,Early prenatal care,,,,,,
County,C&C Honolulu,Percent,2015,Percent,0.694,Early prenatal care,,,,,,
County,C&C Honolulu,Percent,2014,Percent,0.688,Early prenatal care,,,,,,
County,C&C Honolulu,Percent,2021,Percent,0.632,Early prenatal care,,,,,,
County,Hawaii County,Percent,2020,Percent,0.441,Early prenatal care,,,,,,
County,Hawaii County,Percent,2019,Percent,0.436,Early prenatal care,,,,,,
County,Hawaii County,Percent,2018,Percent,0.539,Early prenatal care,,,,,,
County,Hawaii County,Percent,2017,Percent,0.542,Early prenatal care,,,,,,
County,Hawaii County,Percent,2016,Percent,0.526,Early prenatal care,,,,,,
County,Hawaii County,Percent,2015,Percent,0.532,Early prenatal care,,,,,,
County,Hawaii County,Percent,2014,Percent,0.516,Early prenatal care,,,,,,
County,Hawaii County,Percent,2021,Percent,0.425,Early prenatal care,,,,,,
County,Kauai County,Percent,2020,Percent,0.722,Early prenatal care,,,,,,
County,Kauai County,Percent,2019,Percent,0.752,Early prenatal care,,,,,,
County,Kauai County,Percent,2018,Percent,0.702,Early prenatal care,,,,,,
County,Kauai County,Percent,2017,Percent,0.715,Early prenatal care,,,,,,
County,Kauai County,Percent,2016,Percent,0.736,Early prenatal care,,,,,,
County,Kauai County,Percent,2015,Percent,0.735,Early prenatal care,,,,,,
County,Kauai County,Percent,2014,Percent,0.718,Early prenatal care,,,,,,
County,Kauai County,Percent,2021,Percent,0.763,Early prenatal care,,,,,,
County,Maui County,Percent,2020,Percent,0.674,Early prenatal care,,,,,,
County,Maui County,Percent,2019,Percent,0.712,Early prenatal care,,,,,,
County,Maui County,Percent,2018,Percent,0.763,Early prenatal care,,,,,,
County,Maui County,Percent,2017,Percent,0.791,Early prenatal care,,,,,,
County,Maui County,Percent,2016,Percent,0.797,Early prenatal care,,,,,,
County,Maui County,Percent,2015,Percent,0.787,Early prenatal care,,,,,,
County,Maui County,Percent,2014,Percent,0.791,Early prenatal care,,,,,,
County,Maui County,Percent,2021,Percent,0.577,Early prenatal care,,,,,,
State,Hawaii,,2015,Rate,5.00091,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2000,Rate,11.12571,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2001,Rate,12.46035,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2002,Rate,12.14578,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2003,Rate,12.30141,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2004,Rate,10.86202,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2005,Rate,8.63325,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2006,Rate,6.28773,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2007,Rate,6.76866,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2008,Rate,5.94831,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2009,Rate,6.94197,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2010,Rate,5.01269,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2011,Rate,4.57087,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2012,Rate,4.4612,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2013,Rate,4.26566,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2017,Rate,4.16688,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2016,Rate,4.39875,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2019,Rate,4.49531,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2018,Rate,4.17581,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2014,Rate,4.47803,Child abuse and neglect ages 0-17,,,,,,
State,Hawaii,,2020,Rate,4.04979,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2015,Rate,3.55608,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2010,Rate,4.15395,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2011,Rate,3.63371,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2012,Rate,3.47177,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2013,Rate,3.51744,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2006,Rate,5.83521,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2007,Rate,6.25165,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2008,Rate,5.56719,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2009,Rate,6.30963,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2002,Rate,11.41043,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2003,Rate,10.97618,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2004,Rate,9.87904,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2005,Rate,7.87959,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2000,Rate,10.06404,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2001,Rate,11.98053,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2017,Rate,2.88358,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2016,Rate,3.35239,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2019,Rate,3.33869,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2018,Rate,3.08522,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2014,Rate,3.36566,Child abuse and neglect ages 0-17,,,,,,
County,C&C Honolulu,,2020,Rate,3.0403,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2015,Rate,9.71709,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2000,Rate,17.29677,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2001,Rate,17.86917,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2003,Rate,23.44478,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2002,Rate,18.44961,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2004,Rate,18.74984,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2006,Rate,10.03997,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2005,Rate,14.35264,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2009,Rate,9.59096,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2008,Rate,7.85719,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2007,Rate,10.27939,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2012,Rate,7.12443,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2011,Rate,7.63032,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2010,Rate,7.20157,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2013,Rate,6.59786,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2017,Rate,8.10848,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2016,Rate,7.9202,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2019,Rate,10.13865,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2018,Rate,7.76066,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2014,Rate,7.81596,Child abuse and neglect ages 0-17,,,,,,
County,Hawaii County,,2020,Rate,6.50346,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2015,Rate,6.75253,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2013,Rate,5.15398,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2010,Rate,5.32195,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2011,Rate,5.81699,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2012,Rate,6.37481,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2007,Rate,5.3423,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2008,Rate,6.20388,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2009,Rate,6.05351,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2005,Rate,5.93511,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2006,Rate,5.50873,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2004,Rate,7.82123,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2002,Rate,14.66121,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2003,Rate,9.21628,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2001,Rate,12.36192,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2000,Rate,10.30861,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2017,Rate,4.74407,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2016,Rate,6.14266,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2019,Rate,5.491,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2018,Rate,5.84164,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2014,Rate,6.67175,Child abuse and neglect ages 0-17,,,,,,
County,Kauai County,,2020,Rate,7.23795,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2015,Rate,7.11249,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2000,Rate,10.9278,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2001,Rate,9.19596,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2003,Rate,9.03776,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2002,Rate,8.2747,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2004,Rate,9.12318,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2006,Rate,4.90182,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2005,Rate,7.72437,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2009,Rate,7.90746,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2008,Rate,5.80773,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2007,Rate,6.27746,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2012,Rate,6.38345,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2011,Rate,6.00441,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2010,Rate,7.35603,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2013,Rate,5.57395,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2017,Rate,6.59183,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2016,Rate,5.52486,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2019,Rate,3.87447,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2018,Rate,5.39247,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2014,Rate,6.10554,Child abuse and neglect ages 0-17,,,,,,
County,Maui County,,2020,Rate,5.38979,Child abuse and neglect ages 0-17,,,,,,
